STATE,DISTRICT,TEH_NAME,BLOCK_NAME,LAT,LON,SITE_NAME,SITE_TYPE,WLCODE,YEAR_OBS,POMRB,POMKH
CG,Bilaspur,Lormi,Lormi,22.42666667,81.795,Bindabal,Dug Well,W27791,2018,6.4,NA
CG,Bilaspur,Lormi,Lormi,22.27555556,81.64555556,Godkhami,Dug Well,W27678,2018,7.25,NA
CG,Bilaspur,Marwahi,Marwahi,23.05666667,82.01222222,Tendumuda,Dug Well,W28157,2018,4.8,NA
CG,Bilaspur,Marwahi,Marwahi,22.90888889,81.97805556,Lekhani,Dug Well,W31579,2018,4.4,NA
CG,Bilaspur,Mungeli,Mungeli,22.06555556,81.68611111,Mungeli(d),Bore Well,W27493,2018,NA,21.9
CG,Bilaspur,Bilha,Bilha,21.94638889,82.05,Bitkuli,Dug Well,W31429,2018,NA,NA
CG,Bilaspur,Masturi,Masturi,21.91916667,82.26916667,Bakarkuda new,Dug Well,W27416,2018,NA,NA
CG,Bilaspur,Bilha,Bilha,22.05333333,82.18638889,Hemu Nagar,Dug Well,W27486,2018,NA,NA
CG,Bilaspur,Takhatpur,Takhatpur,22.18611111,82.04166667,Ganiyari.2,Dug Well,W27566,2018,1.8,NA
CG,Bilaspur,Lormi,Takhatpur,22.2575,81.83527778,Pali,Dug Well,W27646,2018,5.9,NA
CG,Bilaspur,Bilha,Takhatpur,22.24111111,82.14722222,Madanpur,Dug Well,W27631,2018,4.82,NA
CG,Bilaspur,Bilha,Takhatpur,22.27222222,82.26805556,Chandkhuri (s),Bore Well,W27673,2018,1.15,NA
CG,Bilaspur,Bilha,Takhatpur,22.27222222,82.26805556,Chandkhuri (d),Bore Well,W27674,2018,21,NA
CG,Bilaspur,Kota,Kota,22.30944444,81.94972222,Patera,Dug Well,W27705,2018,2.95,NA
CG,Bilaspur,Kota,Kota,22.34888889,81.93416667,Shivtarai New,Dug Well,W27728,2018,6.3,NA
CG,Bilaspur,Lormi,Lormi,22.38138889,81.89972222,Barighat,Dug Well,W27765,2018,7.7,NA
CG,Bilaspur,Lormi,Lormi,22.40833333,81.85972222,Achanakmar1,Dug Well,W27781,2018,5.5,NA
