STATE,DISTRICT,TEH_NAME,BLOCK_NAME,LAT,LON,SITE_NAME,SITE_TYPE,WLCODE,YEAR_OBS,POMRB,POMKH
CG,Dhamtari,Sihawa (nagri),Sihawa (nagri),20.33333333,81.95833333,Nagri,Dug Well,W11605,2018,3.13,NA
CG,Dhamtari,Sihawa (nagri),Sihawa (nagri),20.33333333,81.95833333,Nagri-1,Dug Well,W31265,2018,NA,3.17
CG,Dhamtari,Sihawa (nagri),Sihawa (nagri),20.32222222,81.8625,Birgudi,Dug Well,W11600,2018,6.17,3.7
CG,Dhamtari,Sihawa (nagri),Sihawa (nagri),20.30833333,81.9125,Sihawa,Dug Well,W11607,2018,7.12,2.91
CG,Dhamtari,Sihawa (nagri),Sihawa (nagri),20.54861111,81.7375,Keregaon,Dug Well,W11603,2018,4.72,4.52
CG,Dhamtari,Kurud,Kurud,21.00416667,81.725,Kondapar,Dug Well,W11593,2018,3.87,4.5
CG,Dhamtari,Dhamtari,Dhamtari,20.63583333,81.63472222,Seadei,Dug Well,W26621,2018,4.72,3.19
CG,Dhamtari,Dhamtari,Dhamtari,20.70833333,81.55,Dhamtari1 PZ,Bore Well,W26661,2018,28.13,15.35
CG,Dhamtari,Magarlod,Magarlod,20.59583333,81.65833333,Banraud - I,Dug Well,W26603,2018,2.43,3.69
CG,Dhamtari,Sihawa (nagri),Magarlod,20.59583333,81.65833333,Banraud D,Bore Well,W26604,2018,7.82,6.18
CG,Dhamtari,Sihawa (nagri),Magarlod,20.59583333,81.65833333,Banraud S,Bore Well,W26605,2018,7.37,5.2
CG,Dhamtari,Sihawa (nagri),Magarlod,20.61333333,81.64916667,Baspara Kukrel,Dug Well,W26610,2018,4.74,3.87
CG,Dhamtari,Magarlod,Magarlod,20.6775,81.90416667,Mulgaon,Dug Well,W26642,2018,4.73,3.19
CG,Dhamtari,Magarlod,Magarlod,20.72277778,81.90277778,Budarao,Dug Well,W26671,2018,3.89,2.87
CG,Dhamtari,Magarlod,Magarlod,20.74527778,81.85416667,Magarlod D,Bore Well,W26687,2018,8.19,4.45
CG,Dhamtari,Magarlod,Magarlod,20.74527778,81.85416667,Magarlod S,Bore Well,W26688,2018,36.66,4.16
CG,Dhamtari,Kurud,Kurud,20.88194444,81.70194444,Bhatagoan,Dug Well,W26768,2018,1.62,4.16
CG,Dhamtari,Dhamtari,Dhamtari,20.62666667,81.57472222,Gangrel S,Bore Well,W26618,2018,15.18,NA
CG,Dhamtari,Sihawa (nagri),Sihawa (nagri),20.24583333,82.07916667,Arsi-kanhar,Dug Well,W11598,2018,NA,4.19
CG,Dhamtari,Dhamtari,Kurud,20.85972222,81.59861111,Kosmarra,Dug Well,W21980,2018,1.39,NA
CG,Dhamtari,Sihawa (nagri),Sihawa (nagri),20.50055556,81.95833333,Nagari,Bore Well,W11604,2018,5.41,4.27
CG,Dhamtari,Sihawa (nagri),Sihawa (nagri),20.36666667,81.79166667,Banspani,Dug Well,W11599,2018,7.24,2.57
CG,Dhamtari,Sihawa (nagri),Sihawa (nagri),20.40555556,81.91111111,Dorgardula,Dug Well,W11601,2018,4.59,5.9
CG,Dhamtari,Sihawa (nagri),Sihawa (nagri),20.49166667,81.87083333,Dugli,Dug Well,W11602,2018,4.19,4.15
CG,Dhamtari,Dhamtari,Dhamtari,20.77916667,81.66666667,Chhati,Dug Well,W11590,2018,2.38,3.72
CG,Dhamtari,Magarlod,Magarlod,20.58194444,81.87777778,Singhpur,Dug Well,W11597,2018,4.29,6.27
CG,Dhamtari,Magarlod,Magarlod,20.74722222,81.85833333,Magarlod,Dug Well,W11596,2018,6.12,5.18
CG,Dhamtari,Kurud,Kurud,20.8275,81.71888889,Kurud.1,Dug Well,W21623,2018,4.17,3.18
CG,Dhamtari,Kurud,Kurud,20.90277778,81.68888889,Marod,Dug Well,W11594,2018,3.52,2.47
CG,Dhamtari,Sihawa (nagri),Sihawa (nagri),20.49555556,81.98583333,Jabarra,Dug Well,W21985,2018,NA,3.65
CG,Dhamtari,Sihawa (nagri),Sihawa (nagri),20.44361111,81.80277778,Gattasilli,Dug Well,W21984,2018,NA,3.12
CG,Dhamtari,Magarlod,Magarlod,20.59583333,81.65833333,Banraud,Dug Well,W11595,2018,NA,NA
CG,Dhamtari,Dhamtari,Kurud,20.78305556,81.80055556,Mega,Dug Well,W26704,2018,4.92,NA
CG,Dhamtari,Dhamtari,Dhamtari,20.63333333,81.56666667,Gangrel,Dug Well,W32793,2018,3.94,4.08
CG,Dhamtari,Dhamtari,Magarlod,20.56666667,81.7,Khadadaha,Dug Well,W32783,2018,5.48,5.12
CG,Dhamtari,Sihawa (nagri),Sihawa (nagri),20.29305556,81.99027778,Sankra,Dug Well,W11606,2018,5.23,3.22
