STATE,DISTRICT,TEH_NAME,BLOCK_NAME,LAT,LON,SITE_NAME,SITE_TYPE,WLCODE,YEAR_OBS,POMRB,POMKH
CG,Janjgir-champa,Jaijaipur,Jaijaipur,21.83333333,82.82083333,Jaijaipur,Dug Well,W11673,2018,5.4,NA
CG,Janjgir-champa,Pamgarh,Nawagarh,21.735,82.65527778,Mudpar,Dug Well,W33454,2018,3.65,NA
CG,Janjgir-champa,Bamhnidih,Bamhnidih,21.9,82.71666667,Bamhnidih-2,Dug Well,W11654,2018,5.4,NA
CG,Janjgir-champa,Shakti,Shakti,21.93194444,82.825,Thathari-2,Dug Well,W11705,2018,2.7,NA
CG,Janjgir-champa,Nawagarh,Nawagarh,21.79722222,82.525,Dhardei,Dug Well,W11682,2018,3.6,2
CG,Janjgir-champa,Dabhra,Dabhra,21.78333333,83.08333333,Dabra,Dug Well,W11668,2018,3.7,2.08
CG,Janjgir-champa,Jaijaipur,Jaijaipur,21.75138889,82.9125,Hasoud,Dug Well,W11672,2018,9.54,6.4
CG,Janjgir-champa,Pamgarh,Pamgarh,21.77583333,82.38444444,Sasaha,Dug Well,W20949,2018,4.1,4.44
CG,Janjgir-champa,Pamgarh,Pamgarh,21.85277778,82.38277778,Jewara,Dug Well,W21624,2018,5.4,5.1
CG,Janjgir-champa,Nawagarh,Nawagarh,21.8,82.66666667,Khartal,Dug Well,W11687,2018,5.6,3.47
CG,Janjgir-champa,Nawagarh,Nawagarh,21.74583333,82.71111111,Thathari-1,Dug Well,W11696,2018,5.5,4.45
CG,Janjgir-champa,Bamhnidih,Bamhnidih,22.03527778,82.66111111,Champa-1,Dug Well,W11658,2018,11.3,3.6
CG,Janjgir-champa,Akaltara,Akaltara,22.02638889,82.42222222,Akaltara,Dug Well,W11643,2018,1.6,1.47
CG,Janjgir-champa,Shakti,Shakti,22.02083333,82.9625,Sakti-1,Dug Well,W11703,2018,3.95,1.85
CG,Janjgir-champa,Pamgarh,Pamgarh,21.87083333,82.45277778,Pamgarh-1,Dug Well,W11698,2018,2.6,1.9
CG,Janjgir-champa,Nawagarh,Nawagarh,21.73333333,82.59444444,Seorinarayan-2,Dug Well,W11692,2018,9.7,9.7
CG,Janjgir-champa,Nawagarh,Nawagarh,21.86111111,82.63333333,Semara-2,Dug Well,W11691,2018,3,5.17
CG,Janjgir-champa,Nawagarh,Nawagarh,22.00416667,82.57916667,Janjgir-2,Dug Well,W11683,2018,7.24,4.8
CG,Janjgir-champa,Shakti,Shakti,22.13555556,82.85944444,Damau,Dug Well,W21650,2018,5.3,5.3
CG,Janjgir-champa,Nawagarh,Nawagarh,21.89694444,82.62305556,Budena,Dug Well,W27407,2018,3,NA
CG,Janjgir-champa,Shakti,Bamhnidih,21.89611111,82.74611111,Saliabhata,Dug Well,W27405,2018,5.4,NA
CG,Janjgir-champa,Bamhnidih,Bamhnidih,21.96138889,82.70055556,Somthi,Dug Well,W27435,2018,8.7,NA
CG,Janjgir-champa,Bamhnidih,Bamhnidih,21.98333333,82.75416667,Saragaon2,Dug Well,W27444,2018,3.2,NA
CG,Janjgir-champa,Baloda,Baloda,22.13472222,82.47833333,Baloda S,Bore Well,W27534,2018,12.1,NA
CG,Janjgir-champa,Nawagarh,Nawagarh,21.92083333,82.53944444,Jhulan Pakariya,Dug Well,W27417,2018,4.35,4.2
CG,Janjgir-champa,Nawagarh,Nawagarh,21.94472222,82.59472222,Dhurkot Nhs,Dug Well,W27425,2018,3.9,3.1
CG,Janjgir-champa,Akaltara,Akaltara,21.93027778,82.35666667,Mulmula,Dug Well,W27421,2018,5.4,4.6
CG,Janjgir-champa,Akaltara,Akaltara,21.94777778,82.405,Nariyara,Dug Well,W27428,2018,4.5,4
CG,Janjgir-champa,Akaltara,Akaltara,22.03333333,82.33944444,Jairamnagar,Dug Well,W27474,2018,5.46,7.6
CG,Janjgir-champa,Akaltara,Akaltara,22.0825,82.46,Bamhani,Dug Well,W27509,2018,10.55,11.85
CG,Janjgir-champa,Jaijaipur,Jaijaipur,21.83333333,82.82083333,Jaijaipur S,Bore Well,W27375,2018,6.22,5.55
CG,Janjgir-champa,Pamgarh,Pamgarh,21.84666667,82.45805556,Dongakahrod,Dug Well,W27377,2018,2.7,1.8
CG,Janjgir-champa,Akaltara,Akaltara,21.925,82.34166667,Konargarh,Dug Well,W11646,2018,6.36,NA
CG,Janjgir-champa,Dabhra,Malkharoda,21.86944444,83.09444444,Sukda,Dug Well,W21260,2018,2.4,NA
CG,Janjgir-champa,Baloda,Baloda,22.13333333,82.47777778,Baloda -r,Dug Well,W11651,2018,10.8,NA
CG,Janjgir-champa,Malkharoda,Malkharoda,21.78333333,83.00972222,Ghoghari,Dug Well,W11679,2018,NA,5.85
CG,Janjgir-champa,Malkharoda,Shakti,21.9625,83.01944444,Adbhar,Dug Well,W21261,2018,NA,2.45
CG,Janjgir-champa,Bamhnidih,Bamhnidih,21.98333333,82.75416667,Saragaon2,Bore Well,W11662,2018,NA,7.2
CG,Janjgir-champa,Malkharoda,Malkharoda,21.86666667,82.99166667,Malkharoda-2,Dug Well,W11681,2018,NA,NA
CG,Janjgir-champa,Pamgarh,Pamgarh,21.83277778,82.49583333,Mehandi,Dug Well,W33455,2018,4.2,3
CG,Janjgir-champa,Dabhra,Dabhra,21.70833333,83.2375,Chandrapur1,Bore Well,W27317,2018,9.8,NA
CG,Janjgir-champa,Nawagarh,Pamgarh,21.86972222,82.45361111,Janjgir S,Bore Well,W27388,2018,2.64,NA
CG,Janjgir-champa,Bamhnidih,Bamhnidih,22.03527778,82.66111111,Champa-d PZ,Bore Well,W27477,2018,15.7,NA
CG,Janjgir-champa,Akaltara,Akaltara,21.96944444,82.36916667,Amora,Dug Well,W27437,2018,2.32,NA
CG,Janjgir-champa,Akaltara,Akaltara,22.02638889,82.42222222,Akaltara S,Bore Well,W27472,2018,1.4,NA
CG,Janjgir-champa,Pamgarh,Nawagarh,21.77083333,82.55666667,Loharsi,Dug Well,W27348,2018,2.8,NA
CG,Janjgir-champa,Pamgarh,Pamgarh,21.87083333,82.45277778,Pamgarh S,Bore Well,W27389,2018,NA,4.44
CG,Janjgir-champa,Pamgarh,Pamgarh,21.87083333,82.45277778,Pamgarh D,Bore Well,W27390,2018,NA,7.05
CG,Janjgir-champa,Akaltara,Akaltara,21.94027778,82.325,Khutighat,Dug Well,W27423,2018,NA,5.06
CG,Janjgir-champa,Shakti,Shakti,22.02083333,82.9625,Sakti D,Bore Well,W27470,2018,NA,2.05
CG,Janjgir-champa,Jaijaipur,Jaijaipur,21.83333333,82.82083333,Jaijaipur D,Bore Well,W27374,2018,NA,5.66
CG,Janjgir-champa,Shakti,Shakti,22.02083333,82.9625,Sakti S,Bore Well,W27469,2018,NA,NA
CG,Janjgir-champa,Pamgarh,Pamgarh,21.89388889,82.34361111,Kosa,Dug Well,W31422,2018,4.41,5.3
CG,Janjgir-champa,Baloda,Nawagarh,22.05,82.62,Kamrid,Dug Well,W31439,2018,4.25,NA
CG,Janjgir-champa,Nawagarh,Nawagarh,21.71805556,82.59444444,Seorinarayan-1,Bore Well,W11693,2018,5.81,NA
