STATE,DISTRICT,TEH_NAME,BLOCK_NAME,LAT,LON,SITE_NAME,SITE_TYPE,WLCODE,YEAR_OBS,POMRB,POMKH
CG,Jashpur,Farsabahar,Farsabahar,22.40416667,83.825,Lavakera-1,Bore Well,W11716,2018,8.15,NA
CG,Jashpur,Bagicha,Bagicha,23.14277778,83.74944444,Kondapara,Dug Well,W28213,2018,NA,NA
CG,Jashpur,Farsabahar,Farsabahar,22.4125,83.82555556,Khutsera,Dug Well,W21959,2018,4.1,4.25
CG,Jashpur,Jashpur,Jashpur,22.95,84.28194444,Rupsera,Dug Well,W11719,2018,4.1,NA
CG,Jashpur,Jashpur,Jashpur,22.90888889,84.20694444,Jakba,Dug Well,W21651,2018,8.86,NA
CG,Jashpur,Pathalgaon,Pathalgaon,22.54444444,83.73888889,Bagh Bahar,Dug Well,W11730,2018,7.5,NA
CG,Jashpur,Kunkuri,Duldula,22.76666667,84.03333333,Binjapur,Dug Well,W11726,2018,4.05,NA
CG,Jashpur,Kasavel,Kasavel,22.64027778,83.74305556,Kansabel,Dug Well,W11722,2018,7.84,NA
CG,Jashpur,Kasavel,Kasavel,22.87638889,83.65416667,Bagicha-1,Bore Well,W11720,2018,4.3,NA
CG,Jashpur,Jashpur,Jashpur,22.88333333,84.13888889,Jashpurnagar,Dug Well,W11718,2018,5.2,NA
CG,Jashpur,Bagicha,Bagicha,22.93472222,83.65416667,Raikera,Dug Well,W11709,2018,NA,NA
CG,Jashpur,Bagicha,Kasavel,22.90833333,83.7475,Bewrapali,Dug Well,W21957,2018,5.95,NA
CG,Jashpur,Pathalgaon,Pathalgaon,22.6,83.67916667,Bangaon,Dug Well,W11731,2018,8.24,NA
CG,Jashpur,Kunkuri,Kunkuri,22.74194444,83.95416667,Kunkuri-1,Dug Well,W21652,2018,4.85,NA
CG,Jashpur,Bagicha,Kasavel,22.90277778,83.63055556,Phooldih,Dug Well,W11708,2018,2.8,NA
CG,Jashpur,Bagicha,Bagicha,23.00666667,83.66138889,Raoni,Dug Well,W21627,2018,NA,6
CG,Jashpur,Kunkuri,Kunkuri,22.74166667,83.95416667,Kunkuri-2,Dug Well,W11727,2018,NA,4
CG,Jashpur,Manora,Manora,22.97222222,84.03055556,Sarkardih,Dug Well,W11729,2018,NA,NA
CG,Jashpur,Bagicha,Bagicha,23.08611111,83.81111111,Sanna,Dug Well,W11712,2018,NA,NA
CG,Jashpur,Kunkuri,Kunkuri,22.68611111,83.85833333,Bandarchuwa,Dug Well,W11725,2018,5.92,8.53
CG,Jashpur,Kasavel,Kasavel,22.79444444,83.66944444,Saraipani,Dug Well,W11724,2018,6.8,6.29
CG,Jashpur,Bagicha,Bagicha,22.95944444,83.59833333,Peta,Dug Well,W21626,2018,6.32,4.62
CG,Jashpur,Bagicha,Bagicha,22.97638889,83.65416667,Bagicha-2,Dug Well,W11706,2018,4.45,2.63
CG,Jashpur,Bagicha,Bagicha,22.98055556,83.54027778,Maini,Dug Well,W11707,2018,6.02,2.34
CG,Jashpur,Pathalgaon,Pathalgaon,22.55416667,83.60416667,Ludeg,Dug Well,W11733,2018,3.75,4.45
CG,Jashpur,Pathalgaon,Pathalgaon,22.55472222,83.4625,Pathalgaon-2,Dug Well,W11734,2018,10.55,11.65
