STATE,DISTRICT,TEH_NAME,BLOCK_NAME,LAT,LON,SITE_NAME,SITE_TYPE,WLCODE,YEAR_OBS,POMRB,POMKH
CG,Korba,Korba,Korba,22.275,82.72777778,Urga.1,Dug Well,W27677,2018,4.5,4.65
CG,Korba,Pondi,Pondi,22.765,82.26361111,Lenga,Dug Well,W27983,2018,6.75,6.3
CG,Korba,Pondi,Pondi,22.85055556,82.44027778,Korbi,Dug Well,W28028,2018,8.81,11.32
CG,Korba,Katghora,Katghora,22.35277778,82.54361111,Sirki Pz - I,Bore Well,W31502,2018,12.6,15.99
CG,Korba,Kartala,Kartala,22.34111111,83.00972222,Chachiya,Dug Well,W33461,2018,4.35,NA
CG,Korba,Katghora,Katghora,22.42305556,82.58361111,Shuklakhar,Dug Well,W33462,2018,8.7,NA
CG,Korba,Pondi,Pondi,22.62277778,82.46527778,Gurasiya,Dug Well,W33465,2018,9.15,NA
CG,Korba,Pali,Pali,22.37638889,82.37583333,Dhourabhata,Dug Well,W27763,2018,NA,6.06
CG,Korba,Katghora,Katghora,22.49055556,82.5025,Sindhiya,Dug Well,W31536,2018,NA,4.8
CG,Korba,Katghora,Katghora,22.33472222,82.54138889,Naraibodh,Dug Well,W27715,2018,NA,NA
CG,Korba,Korba,Korba,22.34583333,82.7,Korba-2,Dug Well,W11797,2018,14.47,NA
CG,Korba,Pali,Pali,22.39166667,82.38055556,Banbandha,Dug Well,W11803,2018,2.4,NA
CG,Korba,Pali,Pali,22.37222222,82.32222222,Pali-2,Dug Well,W11808,2018,2,2.8
CG,Korba,Kartala,Kartala,22.27083333,82.83472222,Salihabhata,Dug Well,W11784,2018,5.4,4.8
CG,Korba,Kartala,Kartala,22.30277778,82.9625,Kartala-1,Dug Well,W11782,2018,10.45,9.6
CG,Korba,Katghora,Pondi,22.92833333,82.44583333,Kurtha,Dug Well,W21598,2018,8.17,NA
CG,Korba,Pondi,Pondi,22.71666667,82.52916667,Madai-2,Dug Well,W11813,2018,6.05,NA
CG,Korba,Pondi,Pondi,22.575,82.42083333,Tuman,Dug Well,W11822,2018,4.5,5.63
CG,Korba,Pondi,Pondi,22.68527778,82.37666667,Jatga-2,Dug Well,W21981,2018,8.5,7.4
CG,Korba,Katghora,Katghora,22.43333333,82.43333333,Chaitama-2,Dug Well,W11786,2018,4.7,4.1
CG,Korba,Katghora,Katghora,22.43472222,82.65,Gopalpur-2,Dug Well,W11790,2018,4.9,5.6
CG,Korba,Katghora,Katghora,22.50833333,82.52083333,Katghora-2,Dug Well,W11793,2018,2.9,2.9
CG,Korba,Pondi,Pondi,22.75416667,82.64722222,Morga,Dug Well,W11815,2018,8.74,8.19
CG,Korba,Pondi,Pondi,22.60416667,82.55416667,Pondi,Dug Well,W11819,2018,4.85,3.9
CG,Korba,Pondi,Pondi,22.76944444,82.49027778,Nawapara,Dug Well,W21961,2018,3.6,2.9
CG,Korba,Pondi,Pondi,22.66666667,82.38055556,Nagai,Dug Well,W11816,2018,8.9,8.6
CG,Korba,Pondi,Pondi,22.84166667,82.2,Pasan,Dug Well,W11817,2018,11.5,9.9
CG,Korba,Katghora,Katghora,22.35555556,82.53861111,Jhabar,Dug Well,W27735,2018,NA,NA
CG,Korba,Pali,Pali,22.34027778,82.46833333,Nonbirra,Dug Well,W27721,2018,NA,NA
CG,Korba,Pali,Pali,22.35138889,82.43333333,Bandhakhar,Dug Well,W27729,2018,NA,NA
CG,Korba,Pondi,Pondi,22.65777778,82.53027778,Gursia,Dug Well,W27922,2018,NA,NA
CG,Korba,Katghora,Katghora,22.48305556,82.53527778,Kasania,Dug Well,W27826,2018,5.12,NA
CG,Korba,Pali,Pali,22.35638889,82.42805556,Numera,Dug Well,W27736,2018,9.6,NA
