STATE,DISTRICT,TEH_NAME,BLOCK_NAME,LAT,LON,SITE_NAME,SITE_TYPE,WLCODE,YEAR_OBS,POMRB,POMKH
CG,Koriya,Manendragarh,Manendragarh,23.41527778,82.04861111,Kelhari,Dug Well,W11834,2018,7.84,7
CG,Koriya,Khadgawan,Manendragarh,23.20388889,82.24777778,Akhradand,Dug Well,W33469,2018,NA,3.2
CG,Koriya,Bharatpur (janakpur),Bharatpur (janakpur),23.59777778,81.71083333,Kiwarpur,Dug Well,W21630,2018,4.53,NA
CG,Koriya,Khadgawan,Khadgawan,23.10833333,82.37916667,Khadgaon,Dug Well,W11832,2018,NA,3.82
CG,Koriya,Manendragarh,Manendragarh,23.30138889,82.405,Ujiyarpur,Dug Well,W11840,2018,NA,NA
CG,Koriya,Baikunthpur,Baikunthpur,23.37083333,82.52638889,Khatgori,Dug Well,W11826,2018,2.71,3.29
CG,Koriya,Manendragarh,Manendragarh,23.48333333,81.98333333,Tilokhan,Dug Well,W11839,2018,7.89,6.95
CG,Koriya,Manendragarh,Manendragarh,23.34861111,82.25555556,Pendri,Dug Well,W11836,2018,5.54,4.85
CG,Koriya,Manendragarh,Manendragarh,23.41111111,82.18055556,Tarabahara,Dug Well,W11838,2018,3.94,3.79
CG,Koriya,Manendragarh,Manendragarh,23.29111111,82.265,Belbehra,Dug Well,W11833,2018,6.95,5.88
CG,Koriya,Sonhat,Sonhat,23.48194444,82.51888889,Sonhat,Dug Well,W11843,2018,4,2.34
CG,Koriya,Bharatpur (janakpur),Bharatpur (janakpur),23.71666667,81.79583333,Janakpur,Dug Well,W11831,2018,5.94,4.69
CG,Koriya,Khadgawan,Khadgawan,23.03861111,82.49944444,Pouri,Dug Well,W21617,2018,5.63,4.81
CG,Koriya,Baikunthpur,Baikunthpur,23.225,82.49166667,Mansukha,Dug Well,W11827,2018,8.49,2.75
CG,Koriya,Baikunthpur,Baikunthpur,23.26666667,82.55,Baikunthpur-d,Bore Well,W11824,2018,19.3,17.05
CG,Koriya,Baikunthpur,Baikunthpur,23.25833333,82.55,Baikunthpur,Dug Well,W11823,2018,2.9,4.18
CG,Koriya,Baikunthpur,Baikunthpur,23.28055556,82.70277778,Ranai,Dug Well,W11828,2018,11.92,7.6
CG,Koriya,Manendragarh,Manendragarh,23.25,82.35833333,Sarbhoka,Dug Well,W11837,2018,5.38,3.92
CG,Koriya,Manendragarh,Manendragarh,23.21666667,82.20583333,Manendragarh,Dug Well,W11835,2018,1.5,1.19
CG,Koriya,Khadgawan,Khadgawan,23.07138889,82.3975,Podidih,Dug Well,W33467,2018,5.81,2.76
CG,Koriya,Baikunthpur,Baikunthpur,23.30666667,82.66861111,Patna,Dug Well,W33470,2018,6.23,6.75
CG,Koriya,Baikunthpur,Manendragarh,23.35222222,82.36194444,Nagar Station,Dug Well,W33473,2018,4.85,10.84
CG,Koriya,BHARATPUR (JANAKPUR),Bharatpur (janakpur),23.70444444,81.70444444,Seri,Dug Well,W33215,2018,5.4,4.52
CG,Koriya,Khadgawan,Khadgawan,23.10833333,82.37916667,Khadgaon S,Bore Well,W28196,2018,24.11,NA
CG,Koriya,Baikunthpur,Khadgawan,23.17083333,82.43638889,Banjaridad S,Bore Well,W31599,2018,6.84,NA
CG,Koriya,Baikunthpur,Baikunthpur,23.40694444,82.52277778,Ghugra,Dug Well,W28442,2018,8.25,6.6
CG,Koriya,Baikunthpur,Baikunthpur,23.26666667,82.55,Baikunthpur-s,Bore Well,W28332,2018,9.9,7.55
CG,Koriya,Baikunthpur,Baikunthpur,23.30194444,82.62111111,Jamgahana,Dug Well,W28365,2018,6.5,4.11
CG,Koriya,Baikunthpur,Baikunthpur,23.30888889,82.44361111,Nagar Tilwander New,Dug Well,W28373,2018,5.16,6.05
CG,Koriya,Manendragarh,Manendragarh,23.37944444,82.30388889,Garundol,Dug Well,W28421,2018,8.19,8.38
CG,Koriya,Manendragarh,Manendragarh,23.40444444,82.23805556,Biharpur,Dug Well,W28438,2018,12.15,11.45
CG,Koriya,Manendragarh,Manendragarh,23.45805556,82.05111111,Dondki,Dug Well,W28483,2018,5.9,5.1
CG,Koriya,Manendragarh,Manendragarh,23.48722222,81.96888889,Rojhi,Dug Well,W28504,2018,4.45,4.73
CG,Koriya,Manendragarh,Manendragarh,23.21666667,82.20583333,Manendragarh-d,Bore Well,W28295,2018,19.35,13.47
CG,Koriya,Manendragarh,Manendragarh,23.28166667,82.31833333,Nagpur,Dug Well,W28346,2018,6.05,6.48
CG,Koriya,Manendragarh,Manendragarh,23.30138889,82.405,Ujiyarpur1,Dug Well,W28363,2018,7.41,7.82
CG,Koriya,Sonhat,Sonhat,23.45527778,82.48805556,Bikrampur,Dug Well,W28482,2018,6.1,3.97
CG,Koriya,Bharatpur (janakpur),Bharatpur (janakpur),23.59333333,81.76305556,Ara,Dug Well,W31636,2018,4.05,4.05
CG,Koriya,Bharatpur (janakpur),Bharatpur (janakpur),23.6125,81.85416667,Baharsi.1,Dug Well,W31641,2018,4.18,3.35
CG,Koriya,Baikunthpur,Baikunthpur,23.30194444,82.72805556,Girjapur,Dug Well,W28366,2018,NA,1.21
CG,Koriya,Sonhat,Baikunthpur,23.35194444,82.47638889,Kailashpur,Dug Well,W33472,2018,NA,3.98
CG,Koriya,Bharatpur (janakpur),Bharatpur (janakpur),23.57361111,81.95,Chutki,Dug Well,W21965,2018,5.04,4.16
