STATE,DISTRICT,TEH_NAME,BLOCK_NAME,LAT,LON,SITE_NAME,SITE_TYPE,WLCODE,YEAR_OBS,POMRB,POMKH
CG,Raigarh,Raigarh,Sarai Lengha [baram,21.56361111,83.26944444,Baramkela S,Bore Well,W27229,2018,31.6,NA
CG,Raigarh,Raigarh,Raigarh,21.86805556,83.55166667,Jamgaon,Dug Well,W27387,2018,3.5,NA
CG,Raigarh,Sarangarh,Sarangarh,21.6725,83.16888889,Godam,Dug Well,W33452,2018,1,NA
CG,Raigarh,Tamnar,Tamnar,22.08138889,83.41166667,Amaghat,Bore Well,W27505,2018,NA,6.8
CG,Raigarh,Dharmjaigarh,Dharmjaigarh,22.12972222,83.11333333,Chhal,Dug Well,W27530,2018,NA,2.3
CG,Raigarh,Sarai Lengha [baram,Sarai Lengha [baram,21.63194444,83.27666667,Mahuapali,Dug Well,W27268,2018,NA,NA
CG,Raigarh,Kharsia,Sarai Lengha [baram,21.65,83.2,Chaple S,Bore Well,W27279,2018,NA,NA
CG,Raigarh,Sarangarh,Sarangarh,21.56555556,82.97166667,Kedar S,Bore Well,W27230,2018,NA,NA
CG,Raigarh,Raigarh,Raigarh,21.97277778,83.26083333,Bhupdeopur S,Bore Well,W27440,2018,NA,NA
CG,Raigarh,Dharmjaigarh,Dharmjaigarh,22.4925,83.22416667,Bamsjer,Dug Well,W27833,2018,3.98,NA
CG,Raigarh,Kartala,Dharmjaigarh,22.24,83.02027778,Charmar,Dug Well,W27630,2018,4.1,NA
CG,Raigarh,Gharghoda,Gharghoda,22.22305556,83.34416667,Teram Dw,Dug Well,W27594,2018,3.8,3
CG,Raigarh,Gharghoda,Gharghoda,22.23138889,83.3975,Kotrimal,Dug Well,W27608,2018,4.74,4.5
CG,Raigarh,Gharghoda,Gharghoda,22.29472222,83.27861111,Dumarpali,Dug Well,W27693,2018,4.8,6.7
CG,Raigarh,Lailunga,Lailunga,22.38555556,83.6125,Pakargaon,Dug Well,W27767,2018,4.7,5
CG,Raigarh,Lailunga,Lailunga,22.41527778,83.52055556,Salkhiya,Dug Well,W27786,2018,5.1,7.5
CG,Raigarh,Dharmjaigarh,Dharmjaigarh,22.33333333,83.17388889,Bartapali,Dug Well,W27714,2018,8.05,8.35
CG,Raigarh,Dharmjaigarh,Dharmjaigarh,22.34861111,83.23666667,Gersa,Dug Well,W27727,2018,6.2,6.1
CG,Raigarh,Dharmjaigarh,Dharmjaigarh,22.37055556,83.23416667,Amapali,Dug Well,W27752,2018,6.2,6.55
CG,Raigarh,Dharmjaigarh,Dharmjaigarh,22.40777778,83.13388889,Duliamuda,Dug Well,W27780,2018,8.2,9.1
CG,Raigarh,Dharmjaigarh,Dharmjaigarh,22.47333333,83.37305556,Karramarra,Dug Well,W27819,2018,1.5,2.5
