STATE,DISTRICT,TEH_NAME,BLOCK_NAME,LAT,LON,SITE_NAME,SITE_TYPE,WLCODE,YEAR_OBS,POMRB,POMKH
CG,Surguja,Surajpur,Surajpur,23.19472222,83.05916667,Kanakpur,Dug Well,W28267,2018,8.25,5.17
CG,Surguja,Surajpur,Surajpur,23.24722222,83.2,Kalyanpur,Dug Well,W28314,2018,6.25,4.82
CG,Surguja,Pratappur,Pratappur,23.58444444,83.15583333,Bhediya,Dug Well,W28556,2018,5.84,9.62
CG,Surguja,Pratappur,Pratappur,23.28388889,83.18638889,Dwarikanagar,Dug Well,W28349,2018,4.98,3.15
CG,Surguja,Surajpur,Surajpur,23.27222222,82.92111111,Biharpur,Dug Well,W31609,2018,8.39,8.22
CG,Surguja,Rajpur,Rajpur,23.3375,83.40416667,Rajpur1,Bore Well,W28389,2018,NA,NA
CG,Surguja,Surajpur,Surajpur,23.21194444,82.87277778,Surajpur1,Bore Well,W28292,2018,NA,NA
CG,Surguja,Udeypur,Udeypur,22.895,82.85694444,Dandgaon-2,Dug Well,W12112,2018,6.1,NA
CG,Surguja,Premnagar,Premnagar,22.83333333,82.73972222,Tara1,Bore Well,W12058,2018,18.71,NA
CG,Surguja,Rajpur,Rajpur,23.41333333,83.32333333,Makanpur,Dug Well,W21976,2018,NA,6.7
CG,Surguja,Udeypur,Udeypur,22.90833333,82.95,Udaipur,Dug Well,W12115,2018,NA,8.14
CG,Surguja,Shankargarh,Shankargarh,23.30083333,83.57555556,Bachwar,Dug Well,W21658,2018,NA,4.9
CG,Surguja,Rajpur,Rajpur,23.3375,83.40416667,Rajpur-2,Dug Well,W12062,2018,NA,6.52
CG,Surguja,Balrampur,Balrampur,23.45,83.525,Pasta,Dug Well,W12020,2018,NA,7.42
CG,Surguja,Lundra,Lundra,23.195,83.43833333,Dhaurpur,Dug Well,W21676,2018,NA,4.11
CG,Surguja,Ambikapur,Ambikapur,23.18777778,83.2675,Parsa,Dug Well,W21675,2018,NA,7.98
CG,Surguja,Udeypur,Udeypur,22.90833333,82.94722222,Udaipur-d,Bore Well,W12116,2018,15.14,11.5
CG,Surguja,Premnagar,Premnagar,22.96666667,82.69583333,Premnagar-3,Dug Well,W18565,2018,10.15,13.23
CG,Surguja,Ambikapur,Ambikapur,22.95222222,83.26388889,Nawapara,Dug Well,W21983,2018,5.9,5.14
CG,Surguja,Ambikapur,Ambikapur,23.00305556,83.23027778,Darima-2,Dug Well,W21982,2018,6.81,6.15
CG,Surguja,Surajpur,Surajpur,23.34444444,82.77083333,Badsara,Dug Well,W21971,2018,5.65,4.7
CG,Surguja,Surajpur,Surajpur,23.35277778,82.86305556,Sirsi,Dug Well,W12107,2018,7,5.4
CG,Surguja,Odgi,Bhaiyathan,23.47388889,82.80888889,Odigi,Dug Well,W21637,2018,5.4,4.85
CG,Surguja,Bhaiyathan,Bhaiyathan,23.40416667,82.86666667,Bhaiyathan,Bore Well,W12028,2018,9.32,6.91
CG,Surguja,Pratappur,Pratappur,23.3,83.07916667,Songara-2,Dug Well,W12051,2018,9.54,8.69
CG,Surguja,Pratappur,Pratappur,23.48333333,83.20277778,Pratappur,Dug Well,W12048,2018,9.1,8.52
CG,Surguja,Pratappur,Pratappur,23.42916667,83.05833333,Gonda,Dug Well,W12047,2018,6.12,6.28
CG,Surguja,Pratappur,Pratappur,23.64777778,83.17638889,Reonti,Dug Well,W21975,2018,11.2,10.28
CG,Surguja,Pratappur,Pratappur,23.51111111,83.15694444,Chandora,Dug Well,W12045,2018,5.84,6.15
CG,Surguja,Pratappur,Pratappur,23.37861111,83.195,Jagannathpur-1,Dug Well,W21974,2018,5.09,3.31
CG,Surguja,Wadrafnagar,Wadrafnagar,23.76666667,83.19583333,Wadrafnagar,Dug Well,W12122,2018,9.71,8.34
CG,Surguja,Wadrafnagar,Wadrafnagar,23.81388889,83.09166667,Mahewa-1,Dug Well,W12120,2018,5.61,5.15
CG,Surguja,Sitapur,Sitapur,22.73333333,83.47638889,Pratapgarh,Dug Well,W12091,2018,6.86,5.9
CG,Surguja,Ambikapur,Ambikapur,23.10833333,83.2,Ambikapur-2,Dug Well,W11999,2018,6.48,4.59
CG,Surguja,Surajpur,Surajpur,23.24,82.80333333,Deonagar,Dug Well,W12098,2018,3.9,3.97
CG,Surguja,Mainpat,Mainpat,22.82916667,83.28805556,Kamleshwarpur-2,Dug Well,W12041,2018,7.54,7.41
CG,Surguja,Batauli,Batauli,22.84722222,83.41388889,Bandana,Dug Well,W12022,2018,7.84,7.69
CG,Surguja,Premnagar,Premnagar,22.84166667,82.74166667,Premnagar-2,Dug Well,W12056,2018,15.44,13.02
CG,Surguja,Lakhanpur,Lakhanpur,22.86666667,83.06666667,Kunni,Dug Well,W21970,2018,7.69,7.61
CG,Surguja,Lakhanpur,Lakhanpur,23.05833333,83.1,Udaipur Dhah,Dug Well,W12037,2018,5.39,5.08
